a: texture1.jpg, b: texture2.jpg
0.0394211, 0.204536 <-> 0.989815, 0.788835
0.437236, 0.248974 <-> 0.463164, 0.303137
0.451469, 0.258477 <-> 0.473865, 0.315377
0.441367, 0.27127 <-> 0.464613, 0.324777
0.0858596, 0.275646 <-> 0.593152, 0.526164
0.609483, 0.327849 <-> 0.655707, 0.419012
0.131067, 0.327938 <-> 0.175448, 0.459503
0.524996, 0.355881 <-> 0.520171, 0.403093
0.79173, 0.385295 <-> 0.802014, 0.259817
0.539431, 0.452808 <-> 0.526428, 0.481933
0.740993, 0.45488 <-> 0.733105, 0.458708
0.694535, 0.455087 <-> 0.756964, 0.453034
0.479949, 0.455897 <-> 0.488413, 0.48451
0.536557, 0.463662 <-> 0.524319, 0.487564
0.628135, 0.465386 <-> 0.626532, 0.47577
0.39526, 0.476905 <-> 0.247786, 0.620742
0.53838, 0.488522 <-> 0.525722, 0.502489
0.445786, 0.488606 <-> 0.468357, 0.503507
0.136411, 0.489044 <-> 0.938922, 0.630925
0.980295, 0.490205 <-> 0.96465, 0.482618
0.976323, 0.491364 <-> 0.949364, 0.485603
0.452108, 0.49646 <-> 0.470979, 0.508894
0.978283, 0.498863 <-> 0.957677, 0.513881
0.477466, 0.503332 <-> 0.485472, 0.513896
0.483363, 0.506174 <-> 0.490739, 0.516577
0.469818, 0.507397 <-> 0.479714, 0.517102
0.598327, 0.507879 <-> 0.564674, 0.514789
0.976973, 0.509577 <-> 0.952865, 0.552214
0.136755, 0.513958 <-> 0.391892, 0.705631
0.643973, 0.515135 <-> 0.1768, 0.433799
0.538182, 0.515472 <-> 0.522556, 0.51951
0.477684, 0.515614 <-> 0.485556, 0.524802
0.975754, 0.516135 <-> 0.948166, 0.574972
0.984459, 0.516537 <-> 0.981338, 0.57991
0.555087, 0.520705 <-> 0.532957, 0.522857
0.507185, 0.522951 <-> 0.168057, 0.769813
0.996861, 0.525145 <-> 0.0280575, 0.607744
0.522643, 0.525509 <-> 0.514574, 0.52461
0.982546, 0.527676 <-> 0.971826, 0.612687
0.711847, 0.52794 <-> 0.65109, 0.53368
0.775694, 0.529473 <-> 0.705799, 0.53759
0.706059, 0.53053 <-> 0.729187, 0.510707
0.475289, 0.532764 <-> 0.483793, 0.539259
0.489598, 0.534943 <-> 0.495283, 0.542852
0.705704, 0.535295 <-> 0.64608, 0.539757
0.463853, 0.539383 <-> 0.475507, 0.541886
0.748319, 0.541376 <-> 0.674353, 0.545949
0.634632, 0.543891 <-> 0.59285, 0.538098
0.482154, 0.546003 <-> 0.489193, 0.550985
0.720186, 0.548314 <-> 0.656713, 0.551194
0.690481, 0.548492 <-> 0.127878, 0.408161
0.766982, 0.55276 <-> 0.69144, 0.559113
0.110497, 0.554621 <-> 0.322924, 0.580928
0.488818, 0.554748 <-> 0.494619, 0.556391
0.762505, 0.556455 <-> 0.687296, 0.562548
0.546294, 0.557205 <-> 0.52819, 0.542311
0.575296, 0.55968 <-> 0.5459, 0.545781
0.516084, 0.561049 <-> 0.510538, 0.544452
0.819727, 0.562662 <-> 0.724124, 0.580148
0.570307, 0.565822 <-> 0.542604, 0.548389
0.764849, 0.569439 <-> 0.688723, 0.565107
0.5237, 0.570209 <-> 0.515056, 0.550193
0.582549, 0.573727 <-> 0.55261, 0.557375
0.388736, 0.576736 <-> 0.419612, 0.56999
0.627723, 0.577022 <-> 0.540485, 0.591937
0.725565, 0.580916 <-> 0.649773, 0.577449
0.765708, 0.587481 <-> 0.688255, 0.59197
0.517517, 0.59457 <-> 0.510755, 0.563376
0.529715, 0.598621 <-> 0.51811, 0.568202
0.589335, 0.600674 <-> 0.559168, 0.576777
0.28853, 0.618135 <-> 0.160584, 0.604781
0.0472499, 0.63911 <-> 0.0219719, 0.58669
0.06952, 0.69323 <-> 0.403566, 0.510685
0.326034, 0.697731 <-> 0.063522, 0.778945
0.561736, 0.70367 <-> 0.596997, 0.699575
0.538084, 0.709258 <-> 0.4691, 0.670048
0.622286, 0.766157 <-> 0.470084, 0.736127
0.652334, 0.782816 <-> 0.343858, 0.686927
0.151848, 0.800609 <-> 0.959617, 0.814033
0.108712, 0.815132 <-> 0.292315, 0.827782
0.183551, 0.829365 <-> 0.293134, 0.877688
0.506021, 0.833386 <-> 0.698606, 0.834352
