#ELSD# 1638 819 texture.pgm (width height input)
# FORMAT:
#   line <x1> <y1> <x2> <y2>
#   circle <cx> <cy> <rx> <ry> <angle_start> <angle_end>
#   eclipse <x> <y> <rx> <ry> <rotation> <angle_start> <angle_end>
line 365.445120 410.640397 358.619764 330.903644
line 703.665279 336.850811 705.101044 443.115190
line 31.876714 384.253884 51.890396 384.537115
line 155.614052 389.040121 171.887524 388.508086
line 5.616762 383.752194 25.629728 384.015052
line 53.138586 409.369224 53.237851 388.119688
line 171.913432 391.282400 153.081641 392.383322
line 818.084368 431.017068 865.648037 432.193994
line 151.842815 390.534806 130.609167 389.945571
line 889.336558 432.358515 919.376939 432.102826
line 808.051424 384.123387 807.277769 392.036587
line 130.571458 386.408384 149.404351 387.695563
line 807.471410 393.115552 806.874464 434.411131
line 355.894530 330.585320 318.044658 339.014225
line 728.471527 401.919424 727.916682 390.635243
line 366.412597 454.406923 365.737053 418.169517
line 116.867280 409.377698 116.908011 390.622357
line 316.251380 453.165458 309.108233 343.061212
line 865.405170 431.299776 888.400790 432.892053
line 93.129256 389.375020 93.071404 401.874752
line 90.118416 403.119754 90.260802 389.371228
line 29.988184 388.131276 29.783364 408.141974
line 25.618444 387.183559 5.600923 386.758267
line 153.106850 368.083751 153.777208 388.103161
line 26.353401 408.134430 26.612497 388.121601
line 52.776233 383.141384 53.163251 361.852971
line 150.486632 385.672494 149.885764 368.107528
line 174.496301 410.684864 173.426601 368.180326
line 315.620049 340.625482 319.286018 378.255446
line 173.027907 367.422364 127.956856 364.987650
line 717.557145 356.872808 717.794165 430.626063
line 320.423222 379.316816 324.588807 454.363132
line 26.900784 381.886616 26.722781 363.126444
line 29.952351 363.114287 30.323757 383.130590
line 711.741058 433.116007 711.106476 354.361048
line 127.443452 360.542305 128.857311 413.004201
line 274.464173 350.560786 277.645052 416.898014
line 3.791201 363.153185 3.092689 410.642911
line 94.377151 385.569292 115.643709 386.390509
line 728.314120 430.634731 728.073244 404.375475
line 925.637762 435.616061 926.206704 356.870172
line 727.675334 376.876523 727.603364 355.622534
line 51.878923 387.799850 31.866755 387.558427
line 125.641516 414.453925 140.764017 411.289307
line 51.872032 362.228935 30.613046 362.050685
line 25.627729 362.103729 5.623184 362.140645
line 66.905095 384.604493 88.136630 385.230617
line 161.846579 411.735158 173.135242 411.824029
line 92.934876 365.617069 93.075243 384.375372
line 65.521578 389.374248 65.385140 408.141431
line 0.623099 410.440042 53.123958 410.402880
line 116.678120 385.642409 116.422478 364.395485
line 89.364057 388.420651 66.848636 387.587257
line 109.361166 390.621121 105.096812 405.827420
line 141.040421 409.990660 151.620600 412.824728
line 151.394470 413.122995 160.990858 411.279934
line 115.525451 364.831708 93.029077 363.519536
line 920.496755 430.628650 919.926990 410.609290
line 66.064954 363.195969 64.962338 389.452158
line 54.401809 411.213406 116.886717 411.743244
line 719.265538 431.969860 731.771688 430.784762
line 277.672735 425.601739 278.474969 453.114796
line 108.157361 388.838462 94.435591 389.460849
line 809.347670 430.624892 809.495882 393.125478
line 89.839009 384.377543 89.774293 364.377753
line 918.245688 422.410403 869.205594 414.128061
line 810.011903 364.359738 810.115468 385.645724
line 89.364393 363.441080 66.847802 362.685502
line 306.325539 340.654171 275.247547 349.262273
line 925.625074 354.904644 809.374902 354.920791
line 818.147117 405.422015 865.652324 404.418533
line 295.415577 429.049961 301.163052 438.118453
line 1380.556957 460.931438 1436.874653 456.870186
line 919.374962 359.355102 814.372942 359.557568
line 298.334607 438.359567 283.205190 435.236525
line 269.322025 454.027673 313.141181 456.599273
line 920.672482 404.382153 920.906856 361.869663
line 1422.014226 473.359191 1340.775546 480.979866
line 868.180535 414.067020 831.980591 407.539429
line 254.320913 458.963200 360.612296 465.821883
line 739.135437 434.705937 750.584989 431.721500
line 753.502684 444.333704 751.821331 378.062934
line 5.612789 394.491082 24.547736 396.482964
line 76.624828 405.535109 88.397960 403.336939
line 250.009797 346.813285 253.613116 456.859017
line 360.593988 462.438859 265.606322 457.214609
line 750.565890 355.788890 705.160568 339.412703
line 318.127123 456.707278 354.378914 456.761573
line 1328.452604 471.483870 1340.534435 484.459328
line 1435.602717 438.786380 1384.378807 440.725571
line 1056.823287 379.638525 1043.176318 380.353929
line 335.637965 408.461920 346.919360 408.027818
line 358.873180 330.950932 356.050291 315.778440
line 292.036483 439.115062 312.972138 452.121061
line 866.775498 403.780331 903.225760 404.929774
line 811.404651 408.057723 813.234022 429.257729
line 751.583502 376.920067 750.997150 356.864120
line 1377.852877 434.695786 1399.384841 436.772987
line 1341.821287 483.528438 1384.466851 480.822668
line 179.484794 365.550964 179.949431 381.929625
line 192.709915 413.138694 191.347792 371.851154
line 1009.359632 459.351451 1024.374655 459.290303
line 56.872771 350.277722 0.617066 350.638761
line 355.620465 458.640661 365.627803 458.578862
line 946.673253 478.404818 966.948431 493.023154
line 315.515944 375.558799 320.167371 455.724082
line 751.646024 456.802377 754.870517 446.635706
line 705.475525 344.852716 726.968047 351.577627
line 353.251291 416.928112 325.662767 414.017078
line 748.452961 432.997945 746.687017 463.187124
line 730.054461 366.866030 730.863318 428.138355
line 354.584610 315.183351 309.686352 326.825716
line 1056.189576 330.624067 1056.268109 378.128070
line 905.540265 405.114607 915.602661 404.831374
line 180.178480 383.121671 180.297629 411.876357
line 923.125000 361.875000 923.125000 430.625000
line 1630.934235 351.875104 1630.914504 410.625517
line 734.309284 432.737500 706.959909 437.375672
line 961.928672 445.083099 951.780612 444.078003
line 86.940526 352.405058 69.358633 350.804830
line 727.136326 356.954965 718.671385 353.711096
line 191.903535 719.783071 131.847558 723.982560
line 1385.306201 480.793776 1404.551001 478.162012
line 813.905520 386.857169 814.334944 405.654471
line 1508.263049 460.307342 1423.094358 472.918052
line 279.370843 406.720986 303.137267 406.079479
line 312.594701 326.348985 249.608216 345.156060
line 129.397364 360.173131 154.397991 361.410461
line 640.506705 344.375351 640.736448 421.870964
line 1348.407121 565.884887 1421.925999 552.147941
line 115.612131 353.390158 93.165006 352.300716
line 1129.164185 480.584368 1128.397948 508.132592
line 1142.925447 499.413099 1144.785116 448.139875
line 549.712587 546.895563 550.425251 491.872413
line 706.768436 441.342337 738.979528 434.898221
line 931.402085 449.011791 947.232774 457.454117
line 1635.589102 380.538737 1633.638744 353.088498
line 265.773814 453.118514 261.359611 351.842981
line 992.911411 333.122192 991.382690 449.384963
line 1440.625630 690.497341 1510.630092 690.842671
line 1446.792448 472.526113 1487.061138 466.975367
line 272.661839 433.100659 271.656226 400.593099
line 1033.673206 420.629784 1033.630273 403.114570
line 1031.417348 510.641893 1033.310942 421.825663
line 271.998384 450.879997 274.211747 428.109132
line 816.996223 420.735914 835.667785 422.722965
line 739.301629 428.125699 738.706668 365.631363
line 733.023284 428.125825 732.587107 374.369222
line 505.226391 333.336903 502.952648 315.647153
line 954.332375 443.330114 943.104859 443.153200
line 1150.523923 419.377289 1150.767974 296.875285
line 266.373774 390.605001 267.976951 450.628954
line 1032.201122 403.185545 1032.827386 348.093198
line 1423.124217 429.326566 1395.631396 429.770805
line 31.593014 398.593178 50.850068 401.753633
line 477.816382 284.319962 485.857717 421.861394
line 1635.564461 410.625435 1635.348674 380.626988
line 1080.896191 444.379068 1081.233900 421.865383
line 1414.648012 452.340262 1398.023348 454.986349
line 717.566989 501.940124 719.687845 479.404442
line 1039.351552 448.059035 1035.137288 529.414487
line 741.143201 360.617045 742.198678 429.370031
line 981.346008 443.681510 987.093669 449.144955
line 1352.005432 542.632222 1424.507414 530.143730
line 27.987595 354.216402 50.756196 357.082914
line 171.850949 357.226730 116.851692 353.465855
line 505.816986 396.931602 502.805575 340.642089
line 263.254957 630.792537 244.433949 632.518005
line 506.836757 313.010971 508.044375 299.367863
line 1080.375467 464.384717 1079.595978 444.366395
line 888.012293 560.414052 913.123601 563.137895
line 1039.897336 330.625938 1039.688682 446.877807
line 284.783661 623.141315 261.081746 630.790315
line 924.377508 290.937374 821.843975 291.760549
line 523.105205 284.166730 529.280192 320.641051
line 260.733866 347.264905 354.179229 321.173846
line 547.931152 288.147053 554.749619 348.082382
line 1145.246463 359.375946 1145.121499 309.373134
line 1147.446682 515.600800 1148.739908 479.352342
line 734.792646 365.620299 735.257170 406.893209
line 701.949411 443.123425 700.520973 375.627202
line 1079.698407 474.932005 1068.180594 476.150498
line 1043.664823 488.136428 1043.929322 475.642027
line 744.666188 490.670482 749.389278 460.431987
line 558.036715 348.127503 557.292219 321.863173
line 264.403329 351.811326 266.337983 390.651749
line 1153.587562 451.880270 1153.943705 420.620086
line 645.638508 480.708088 615.619090 485.588648
line 744.575396 302.926187 699.313941 311.554712
line 675.302493 324.381080 674.130707 503.131593
line 1400.457645 480.843535 1445.686676 473.505132
line 1131.981485 510.636198 1124.762539 579.284305
line 1495.631213 712.740095 1479.365274 712.477555
line 597.342945 320.769528 592.892373 296.686984
line 1393.133205 429.669927 1375.623759 429.519507
line 1046.303209 378.130654 1045.833465 330.622939
line 578.228447 310.745555 582.025636 346.859161
line 671.944782 503.134005 673.215630 316.884148
line 812.002208 277.985558 910.673766 274.509140
line 354.643288 325.524711 310.662950 335.787631
line 153.143009 360.391986 171.973745 361.847361
line 272.718519 385.823440 269.990495 363.051266
line 502.159310 421.774134 504.885000 395.678269
line 1125.199358 508.153598 1126.067111 483.140338
line 970.471431 465.459745 1008.339383 461.350697
line 211.896749 634.181322 196.806303 632.486759
line 1081.407783 420.629950 1080.533598 338.125968
line 1045.856021 433.144862 1044.993406 443.178168
line 772.252408 384.625591 782.417979 369.315499
line 774.319138 493.118945 776.624691 471.847869
line 932.765592 526.662119 908.125600 518.123268
line 901.895174 398.221757 918.467251 394.766504
line 990.716892 450.339000 1008.804519 456.150543
line 120.618806 366.875007 120.666658 410.624954
line 1488.023811 466.417452 1500.731608 463.607049
line 1045.560009 443.122262 1044.346669 471.926461
line 236.954975 753.516290 223.265865 756.314199
line 512.089231 296.683623 514.405115 284.149604
line 166.874185 415.605900 191.828800 414.541679
line 1440.523483 452.163276 1460.694570 450.034073
line 940.335540 454.530872 947.239507 467.351830
line 380.712323 572.456835 345.657603 567.875531
line 243.239575 631.210673 233.109719 629.463600
line 144.389760 654.112379 121.857424 654.449200
line 1091.256709 319.366843 1092.693336 430.630574
line 972.314264 447.317887 980.937989 443.919160
line 820.858937 292.338584 745.220854 302.664646
line 1134.636229 336.873818 1135.128416 445.627247
line 1316.761408 571.989684 1326.977143 470.761455
line 916.436465 524.289091 933.141173 530.582070
line 945.243832 451.306001 926.619381 442.410168
line 839.401582 496.222755 816.837174 495.303141
line 1239.533897 613.222353 1191.736014 606.633208
line 225.600222 634.791413 211.788115 635.201968
line 532.581357 321.879853 532.402736 301.870289
line 1046.107294 381.876951 1045.899991 433.131168
line 609.406722 310.440345 611.314953 297.850650
line 590.913089 427.180684 603.282673 425.910571
line 610.692281 296.487118 550.550397 286.055093
line 1080.044042 335.647506 1079.316887 316.877251
line 1131.183287 280.615302 1130.412086 335.622015
line 833.160746 437.345781 866.897093 438.893402
line 706.955783 445.620164 708.526235 471.850978
line 898.300439 455.414198 930.925728 449.906332
line 544.726108 499.296376 542.419049 525.672587
line 541.191464 551.926743 543.713663 524.314591
line 572.290987 399.411826 573.408417 386.789431
line 140.605436 698.070214 161.869398 697.751384
line 118.983597 290.347485 157.479423 236.053552
line 945.666662 508.654993 919.480214 510.713462
line 1425.706999 527.341532 1353.248394 540.077046
line 1074.553264 562.833914 1120.436285 590.933151
line 1456.717911 596.351118 1503.225055 606.412514
line 1500.675864 613.553289 1474.371900 611.925073
line 185.414833 618.204357 200.598678 615.478386
line 163.635658 644.141366 144.156646 653.928295
line 829.395474 813.321263 766.870504 812.106390
line 722.111001 167.837881 745.482494 187.048373
line 558.001583 402.529727 570.483375 399.941902
line 969.163641 505.642092 969.555035 481.857393
line 722.085821 522.839851 690.919774 520.480747
line 470.337032 556.387799 462.447580 566.337871
line 152.780196 571.001325 166.538158 583.606908
line 1228.082073 786.232630 1244.339243 787.381141
line 532.955101 521.867289 534.089934 496.862063
line 546.766126 523.030585 544.846573 550.657765
line 514.349445 282.707902 485.619106 282.355417
line 1146.356206 300.667176 1147.676814 316.911436
line 1591.865715 528.394656 1579.294536 527.961787
line 1185.742344 604.307520 1167.938248 602.721762
line 312.092881 695.885488 291.705166 691.396306
line 594.715747 335.913689 593.008011 323.140641
line 975.364534 495.266408 1006.802290 490.175956
line 744.205201 509.867911 724.402171 503.046126
line 151.917339 585.192582 129.388537 582.986746
line 456.932715 571.862757 399.382984 574.546225
line 195.749667 632.113242 185.595785 630.862096
line 1406.882311 794.714838 1381.873884 794.513947
line 0.615001 353.645598 19.382086 354.006042
line 1461.901155 450.482469 1506.766655 458.715426
line 499.684737 441.845228 501.731506 463.138793
line 1507.662951 516.853008 1510.342661 460.552067
line 919.581182 509.644585 905.910056 506.769534
line 470.266406 569.469431 471.603638 556.846253
line 466.165572 601.948986 470.455902 570.601856
line 1260.676399 615.194784 1240.516137 612.786199
line 155.576998 622.711030 184.517649 619.355209
line 193.455160 202.188033 160.594790 236.846357
line 706.452178 298.321945 814.221053 278.536470
line 644.173773 426.821745 645.579448 454.504259
line 755.201498 520.282942 773.544248 503.585561
line 1520.431534 683.291542 1534.405587 680.796294
line 114.424410 696.245833 139.466299 698.212434
line 1466.826509 775.451807 1481.851656 774.939866
line 676.856440 464.374882 677.436630 373.128571
line 1328.129633 458.323682 1365.609256 457.449776
line 656.694040 443.044187 660.668593 495.621705
line 616.895163 481.967694 638.223601 477.328294
line 770.734715 470.631477 769.480168 491.881209
line 716.867798 478.124392 714.648906 504.398132
line 1137.905237 580.596506 1142.908418 542.008991
line 1122.566043 571.816231 1128.990158 510.715963
line 290.379487 572.497295 324.365657 568.053541
line 1317.083014 611.587076 1304.108483 614.392347
line 1261.878046 732.014689 1286.920649 731.468674
line 1062.960594 320.086301 1053.114681 323.091189
line 536.496048 368.122582 536.392345 384.371920
line 945.594128 447.226895 969.380380 449.313672
line 713.265683 467.947696 710.246140 444.263935
line 681.506987 501.963187 704.474194 494.688156
line 774.460066 505.709836 760.103673 520.105080
line 891.101396 524.597241 900.072302 505.367164
line 349.211410 571.905835 376.898367 575.442044
line 292.982585 678.573336 321.853777 676.569255
line 95.614716 356.350651 113.132494 356.007082
line 989.176174 448.124767 989.211404 418.124808
line 1006.626355 488.690502 990.706102 481.690547
line 1142.657640 543.085699 1144.867091 516.811266
line 641.229673 544.852930 633.790376 534.807973
line 1383.074299 557.774262 1349.307129 562.655485
line 1553.178669 615.398406 1570.870447 619.588702
line 1235.097798 404.362406 1234.500218 429.377991
line 187.044837 520.623515 186.159527 419.370326
line 1091.607613 470.694176 1085.891172 551.893738
line 1429.102249 494.337794 1404.162546 499.622355
line 338.254984 567.657994 260.192079 545.930399
line 101.792800 595.477027 116.588005 613.362409
line 1426.893472 799.976506 1373.115894 798.444705
line 975.626598 813.817256 830.620626 813.401826
line 602.348517 320.798200 598.983508 305.712325
line 1148.104367 318.124443 1146.956549 360.627202
line 840.625000 356.875000 870.625000 356.875000
line 729.192497 501.262103 743.223438 505.281360
line 53.225574 592.903084 39.468649 586.668363
line 1453.099820 704.726268 1435.600138 703.471824
line 1481.796876 789.402873 1436.900432 792.272850
line 129.375808 808.112985 78.189203 804.670388
line 157.762543 235.288035 191.486036 199.013391
line 634.284532 309.374187 634.026240 338.121866
line 741.908294 465.650919 742.464507 438.111660
line 967.062311 463.990961 945.463400 453.456325
line 1510.748455 459.381127 1513.601490 401.898650
line 98.987401 466.870305 98.699772 490.616821
line 1371.888739 526.966253 1409.477678 521.306987
line 366.199660 584.280189 347.868595 573.563589
line 113.081746 647.978731 133.852856 641.836305
line 210.862382 164.490415 178.489699 193.383067
line 160.256533 237.849034 139.425310 265.662680
line 947.632627 457.719591 965.973471 466.113594
line 531.974833 496.743436 516.761318 498.101414
line 134.260786 641.162704 154.541093 637.910846
line 135.128301 271.545935 124.214877 288.018918
line 686.721013 305.012833 706.425251 300.056362
line 1033.352521 327.443942 1067.189845 313.912304
line 1198.898430 344.433466 1193.803614 411.831807
line 803.111400 494.252466 790.626464 495.638186
line 714.673282 508.483471 741.661532 517.513029
line 1025.996961 562.172070 1004.487652 567.343543
line 1451.805380 766.485260 1488.098356 767.682609
line 1327.477681 423.105684 1326.805776 445.622934
line 794.380847 489.996822 776.859095 489.833731
line 748.149822 534.141235 727.979059 531.999405
line 463.080239 732.722082 483.110763 730.496843
line 1468.075972 739.880027 1454.303359 740.786436
line 429.367005 783.338346 440.648006 783.761098
line 840.616747 332.241407 903.134224 332.421418
line 634.147390 337.888710 637.354239 351.764241
line 1132.327702 436.880177 1131.686476 338.118108
line 538.311429 384.716665 548.119496 379.364913
line 1026.707893 459.377334 1026.131270 418.100466
line 548.114081 490.458528 561.968454 489.549825
line 750.794995 488.135766 748.498319 524.398644
line 872.979641 552.659992 884.528056 554.798445
line 319.496909 594.999344 291.869877 596.796227
line 1468.075561 608.358462 1459.194416 606.477763
line 120.621399 634.431365 94.319032 632.751098
line 638.159165 349.374832 637.968987 310.625766
line 895.416780 389.471013 914.349550 387.831164
line 127.550317 530.627660 127.993420 418.124482
line 28.099176 559.752453 0.557055 557.868091
line 954.364496 569.494232 885.597577 563.436296
line 1519.435551 570.086527 1506.814025 568.667249
line 29.265049 587.797264 10.527230 594.083573
line 255.922360 137.700104 218.049073 159.241509
line 876.875000 356.875000 913.125000 356.875000
line 986.868437 450.840392 971.869040 450.935547
line 677.877539 548.876821 702.405510 536.693001
line 885.555364 558.441246 862.378619 553.337846
line 1419.424799 549.601813 1383.270943 557.539710
line 368.704123 577.558473 416.573821 592.819704
line 1451.760039 605.988553 1431.781400 599.671002
line 1450.669703 739.679616 1439.477305 741.322125
line 484.717883 284.374112 484.782638 309.377182
line 990.630524 478.113033 1009.416376 486.785372
circle 524.909899 487.335631 -2.931538 -2.931538 0.000000 5.085742 11.197107
line 769.469547 501.171940 754.240659 499.123970
line 633.181933 528.018211 672.177315 548.807947
line 399.315707 572.619608 380.584940 571.128077
line 330.734151 574.576733 342.547298 583.860128
line 1568.681908 588.990541 1578.922449 603.824485
line 96.863302 615.170669 87.102657 599.693140
line 205.703964 615.536133 215.015954 623.810427
line 1490.624257 705.073386 1453.125629 705.033494
line 1381.989084 794.209561 1365.526776 795.941213
line 911.729604 275.877983 934.298686 277.069948
line 1077.591936 315.855431 1067.530253 320.728058
line 771.568632 396.388018 798.262912 379.594216
line 1185.181323 408.142614 1185.864258 376.880227
line 545.660485 429.813508 519.380273 431.940162
line 705.593400 535.622941 704.209550 556.864221
line 744.358922 575.396910 728.101590 576.542900
line 235.708533 627.143931 254.579215 621.282461
line 1576.595552 623.467978 1562.192482 627.905472
line 183.117716 633.038802 164.290899 634.629802
line 1613.133885 794.565281 1635.643173 793.514179
line 806.888978 805.892268 893.099294 801.383485
line 1034.233499 346.931514 1033.519819 329.358965
line 94.090585 479.412654 94.433180 470.627269
line 914.355895 518.206910 941.819590 524.612565
line 731.896268 521.793844 748.884684 526.245954
line 1134.935056 595.511992 1137.559801 579.487165
line 1304.705226 599.448990 1310.544639 573.387068
line 618.161943 610.999364 600.586392 612.733771
line 581.874861 699.688947 568.125416 699.682880
line 274.351720 741.240139 304.356054 742.375639
line 779.349406 334.414315 839.363795 334.000380
line 804.889772 375.611851 804.378437 355.592984
line 693.748395 396.884310 693.283898 365.622639
line 918.143359 390.975784 901.872506 391.827347
line 123.203336 411.874390 122.920857 375.626591
line 126.872597 418.284069 61.868549 417.302011
line 969.454946 417.048687 966.823916 437.194822
line 1073.283650 445.622267 1073.542309 460.639343
line 426.986306 454.198420 425.679300 471.879014
line 569.199101 488.327647 602.236773 482.779105
line 1313.742964 547.019422 1320.527275 459.270800
line 135.676557 575.211673 153.215507 577.399410
line 1272.014595 794.659434 1254.348452 793.546355
line 1315.638174 795.505239 1279.378530 795.927883
line 999.706747 300.134781 925.483528 291.900165
line 1400.440855 436.242486 1414.302764 434.886535
line 491.476976 468.083963 492.744220 494.393341
line 356.759430 553.715499 379.371851 558.141091
line 1178.359899 568.163164 1175.493367 585.806700
line 470.577514 727.920717 443.108933 734.305882
line 183.020849 732.658828 168.201997 735.969632
line 575.617759 810.994181 530.635063 810.111929
line 1635.600527 52.894795 1550.499230 61.941958
line 1123.269090 266.069040 1104.470459 272.169175
line 1126.406640 335.614080 1127.689025 280.614835
line 640.625000 319.375000 640.625000 343.125000
line 1391.500541 406.860974 1392.295386 385.640746
line 1087.699001 435.613404 1086.045511 318.119082
line 531.899465 438.349866 520.512261 439.588798
line 923.170468 449.743257 891.933648 453.600005
line 968.461926 479.383704 968.753197 468.108936
