#ELSD# 2048 1024 texture1.pgm (width height input)
# FORMAT:
#   line <x1> <y1> <x2> <y2>
#   circle <cx> <cy> <rx> <ry> <angle_start> <angle_end>
#   eclipse <x> <y> <rx> <ry> <rotation> <angle_start> <angle_end>
line 1905.531186 833.281494 1995.630590 839.291196
line 1559.339479 456.084493 1581.962306 455.067941
line 1695.597456 461.385369 1718.166670 460.115736
line 1049.194674 844.185510 1077.161363 848.940877
line 1736.935325 651.386810 1696.791116 654.565680
line 1177.512471 469.462141 1173.415774 558.196135
line 1103.081547 488.162360 1088.055006 470.685179
line 1608.107427 867.707623 1743.236292 862.018346
line 0.606438 840.350701 135.748864 831.205353
line 1695.693393 654.690060 1674.374855 655.621677
line 1744.300504 861.356627 1841.939644 847.324820
line 1087.071769 471.164208 1070.050007 466.452054
line 1511.798953 862.101634 1606.868679 866.997730
line 1610.849993 424.574994 1628.436212 404.790521
line 1077.933446 849.830735 1171.902130 860.383418
line 1588.077934 414.724813 1605.927539 417.126418
line 1417.708209 443.732008 1405.411044 457.527089
line 1665.775210 315.085451 1718.374450 329.728983
line 1173.051729 860.316210 1260.662759 863.245805
line 1765.689960 647.514319 1755.415011 648.558334
circle 966.627732 404.041077 -3.970865 -3.970865 0.000000 4.758652 10.917667
line 1170.698595 504.366935 1167.119814 471.711182
line 1788.225198 643.947575 1767.917468 646.421266
line 1651.884832 636.512240 1615.611583 636.914200
line 1279.368355 472.239251 1298.134913 472.581597
line 1717.811676 330.443742 1760.018498 305.834789
line 876.737990 253.647099 901.405410 291.364608
line 1068.059486 466.869437 1065.503399 496.970819
line 1564.400419 542.073535 1597.006097 537.898931
line 1745.705496 650.099050 1735.827584 651.197219
line 1645.603884 693.119809 1643.143044 703.129436
line 356.854546 830.301669 453.140407 832.426986
line 1024.141912 839.249872 1048.404253 844.277339
line 1433.114104 851.961387 1510.797171 861.760036
line 1868.937461 401.791813 1879.362745 408.145110
line 1842.324568 845.632474 1842.137623 825.610876
line 1842.896348 824.901454 1904.572579 832.839956
line 1065.218739 464.364452 1065.770111 443.128768
line 16.202621 388.356670 21.387429 375.429447
line 308.099886 825.942658 355.697676 829.705749
line 1106.991035 437.557375 1128.545849 432.375629
line 896.849757 856.552708 1021.963378 846.753370
line 1293.097157 862.729381 1393.217056 855.682994
line 1091.335975 431.420931 1109.794963 439.122421
line 1646.298940 663.315060 1653.893143 636.386592
line 1309.622941 556.824177 1308.544727 578.082890
line 1757.002543 663.840745 1838.342622 649.346250
line 1261.842780 862.742157 1291.905071 862.148963
line 1804.431056 640.945280 1789.240067 643.604054
line 1879.994224 690.369259 1835.468663 662.121426
line 1604.513743 418.502604 1612.765357 415.783569
line 1732.492137 568.073377 1726.936750 501.660711
line 1644.668333 670.705421 1646.555272 693.151878
line 1270.573167 349.258862 1280.772995 344.706599
line 1098.074230 505.757422 1100.589040 482.983001
line 1898.951267 393.742245 1891.254281 388.458336
line 1883.983508 391.182323 1878.875517 399.050747
line 1845.610958 653.050252 1749.466381 671.111448
line 1650.606447 669.883774 1701.886895 668.600242
line 1106.728482 484.369831 1106.152822 500.687718
line 1996.869045 838.914983 2045.635119 839.282562
line 1666.891421 554.730294 1689.401111 553.689945
line 1880.092233 403.174057 1900.506743 407.440806
line 1058.092363 503.637060 1044.397994 502.764237
line 1215.765626 439.473832 1208.756359 449.447214
line 405.618181 499.678705 604.352193 504.140799
line 1946.842083 621.302233 1993.099571 620.466882
line 1288.334711 579.627419 1290.791214 553.256925
line 1623.358934 591.993758 1621.578817 576.763517
line 136.795617 830.107152 203.209511 819.926300
line 1164.664212 548.055208 1167.561146 508.174842
line 1707.100180 669.767779 1751.774813 663.644098
line 934.570598 364.292636 952.854200 407.712672
line 1199.612306 452.326504 1214.760348 456.828367
line 1615.537195 637.033658 1535.536362 632.047029
line 1889.620096 391.279930 1883.593025 393.535460
line 1230.890721 451.584958 1218.491243 440.225235
line 1164.429359 474.390345 1120.618779 475.337135
line 1649.402548 678.671080 1743.166164 673.940978
circle 963.710035 676.307004 -2.377143 -2.377143 0.000000 0.207604 6.211744
line 1336.184595 565.603038 1335.665665 581.916057
line 1630.626203 622.516991 1679.376012 622.613470
line 1724.703212 500.571479 1801.986142 490.203452
line 1175.430304 568.420302 1171.588904 598.408594
line 855.613609 856.014049 895.639679 855.484464
line 1250.955816 360.358902 1273.664703 350.054774
line 1640.609679 710.619620 1631.697111 736.001461
line 1393.360901 854.878666 1432.082811 849.669849
line 1089.230307 453.594492 1074.504655 456.324388
line 1762.009477 671.330582 1845.812461 655.358586
line 1669.328479 727.317371 1725.607753 724.075578
line 1895.706061 399.606898 1896.524259 394.910566
line 896.239853 273.579093 881.703854 253.247359
line 1727.293568 744.738230 1786.753797 736.045905
line 1551.935169 760.534018 1587.079743 720.806122
line 1658.782059 645.828619 1653.505505 662.855548
line 1046.028808 500.976076 1050.420396 464.652518
line 1672.062520 683.141780 1670.378191 701.964768
line 1673.126479 675.519264 1650.630882 675.204551
line 1700.739379 317.544100 1669.707951 311.434032
line 1663.925452 662.231729 1666.605316 646.828081
line 1405.522485 459.546503 1426.855937 460.104198
circle 1162.097274 555.611377 -1.618215 -1.618215 0.000000 0.133091 6.075598
line 1679.437997 615.519916 1624.246022 616.971702
line 1670.317559 702.943491 1667.663484 725.716892
circle 953.712486 716.666302 -2.977233 -2.977233 0.000000 4.935818 10.803633
line 205.475092 811.579722 249.513256 818.494484
line 1218.154014 346.812439 1230.349736 352.468527
line 1051.054017 465.925497 1057.810069 456.279952
line 250.577946 817.219746 312.939858 825.731464
line 1075.583636 668.279761 1101.890531 667.286226
line 1960.126259 462.737300 1955.607141 483.121041
line 1544.297534 644.166290 1626.805858 650.304408
circle 908.401741 833.475269 -3.265859 -3.265859 0.000000 5.435551 11.397072
line 1126.781569 494.091381 1166.890068 497.969146
line 1371.903537 576.830650 1371.178321 596.804319
line 1769.401698 718.242117 1842.112486 701.666777
line 1516.962657 639.624026 1476.674496 653.805385
line 1725.387056 723.923836 1768.271931 717.925476
line 151.618171 364.103152 126.482357 388.990903
line 111.136059 504.335905 115.545504 561.976705
line 979.944570 523.299682 981.156462 510.676021
line 1743.142346 670.865746 1674.389023 675.819618
line 1704.630968 551.516462 1715.629568 559.368601
line 1258.874261 579.540106 1257.661746 566.682922
line 1760.470230 304.723827 1749.680454 299.936555
line 1685.158768 619.381595 1696.665733 615.066901
line 1579.435907 545.906793 1564.072912 549.227350
line 1215.553257 454.461688 1230.577068 455.268049
line 916.406126 641.837179 917.073256 655.615401
line 1119.910756 473.758686 1107.187287 484.515885
line 1590.714337 545.276168 1580.566233 546.282197
line 1313.302314 599.339386 1315.812546 611.837331
line 1090.348047 468.182129 1113.122429 470.648734
line 1090.267394 478.071934 1088.761572 488.219463
line 1597.958870 550.634482 1600.531076 595.701704
line 1219.832034 601.724950 1225.485412 571.848586
line 1991.881168 611.711786 1951.868268 611.938872
line 699.263826 657.072532 720.210409 668.861635
line 1660.631302 747.387750 1689.379201 747.633480
line 1694.305350 759.957926 1730.551748 756.173422
line 1630.620896 575.483533 1666.912878 574.430784
line 1177.883029 599.364833 1177.306298 613.090600
line 1855.964794 716.627187 1884.050497 707.104654
line 263.185692 433.463222 208.163001 443.336767
line 1671.924406 574.242713 1713.204257 572.418031
line 1925.727669 684.069751 1907.739997 678.019663
line 919.238996 290.551318 956.898054 288.561264
line 1562.683035 551.836117 1564.972147 599.406416
line 1510.703570 649.068251 1535.634710 646.991573
line 626.608089 832.155540 649.713340 836.184870
line 1520.403356 613.123947 1520.522140 588.124511
line 1691.181403 749.313339 1692.291330 759.328862
line 1958.215528 830.299248 1945.713039 831.523839
line 1117.538599 427.758905 1106.454483 407.667390
line 1697.558657 505.564676 1699.000738 521.908024
line 1676.111619 586.868594 1676.195528 576.869298
line 1910.626327 599.323662 1929.363805 599.808046
line 1526.109189 584.406014 1527.223130 611.911525
line 1140.620302 548.862136 1165.606753 548.633229
line 1491.815596 596.763761 1475.535618 605.457626
line 1210.394247 343.683953 1217.938652 346.798511
line 1995.644956 638.077979 1949.366219 638.845702
line 53.694244 826.731994 46.322343 828.512400
line 1816.478155 479.321630 1958.658335 464.486483
line 680.629891 708.146052 646.679691 716.034421
line 966.804610 507.507291 1000.416365 511.249114
line 1055.837666 560.454478 1060.955418 491.806445
line 1117.967829 665.289437 1160.913202 661.032410
line 1072.798482 461.739521 1090.278273 467.864507
line 1671.858599 505.067315 1695.661535 504.367283
line 1674.419528 576.038612 1665.503720 576.998456
line 1370.650155 595.628556 1368.695693 609.455667
line 1000.392917 513.075749 999.601793 536.882537
line 1641.052257 583.146086 1640.310742 598.171181
line 1102.121512 667.728506 1117.207305 665.960586
line 1773.887012 674.052968 1745.186432 682.962173
line 1105.003930 417.751043 1095.444145 424.614222
